引きを,,,10,名詞,引用文字列,*,*,*,*,引きを,ヒキヲ,ヒキヲ,呪文
引導,,,10,名詞,引用文字列,*,*,*,*,引導,インドウ,インドウ,呪文
因を,,,10,名詞,引用文字列,*,*,*,*,因を,インヲ,インヲ,呪文
因果,,,10,名詞,引用文字列,*,*,*,*,因果,インガ,インガ,呪文
威厳を,,,10,名詞,引用文字列,*,*,*,*,威厳を,イゲンヲ,イゲンヲ,呪文
威風,,,10,名詞,引用文字列,*,*,*,*,威風,イフウ,イフウ,呪文
圧殺,,,10,名詞,引用文字列,*,*,*,*,圧殺,アッサツ,アッサツ,呪文
圧倒,,,10,名詞,引用文字列,*,*,*,*,圧倒,アットウ,アットウ,呪文
驟雨と,,,10,名詞,引用文字列,*,*,*,*,驟雨と,シュウウト,シュウウト,呪文
鉤爪で,,,10,名詞,引用文字列,*,*,*,*,鉤爪で,鉤爪デ,鉤爪デ,呪文
貪欲,,,10,名詞,引用文字列,*,*,*,*,貪欲,ドンヨク,ドンヨク,呪文
蟲の,,,10,名詞,引用文字列,*,*,*,*,蟲の,蟲ノ,蟲ノ,呪文
穢れを,,,10,名詞,引用文字列,*,*,*,*,穢れを,ケガレヲ,ケガレヲ,呪文
禊にて,,,10,名詞,引用文字列,*,*,*,*,禊にて,ミソギニテ,ミソギニテ,呪文
天と,,,10,名詞,引用文字列,*,*,*,*,天と,テント,テント,呪文
天より,,,10,名詞,引用文字列,*,*,*,*,天より,テンヨリ,テンヨリ,呪文
天を,,,10,名詞,引用文字列,*,*,*,*,天を,テンヲ,テンヲ,呪文
天下の,,,10,名詞,引用文字列,*,*,*,*,天下の,テンカノ,テンカノ,呪文
天界の,,,10,名詞,引用文字列,*,*,*,*,天界の,テンカイノ,テンカイノ,呪文
天球の,,,10,名詞,引用文字列,*,*,*,*,天球の,テンキュウノ,テンキュウノ,呪文
天空に,,,10,名詞,引用文字列,*,*,*,*,天空に,テンクウニ,テンクウニ,呪文
天空の,,,10,名詞,引用文字列,*,*,*,*,天空の,テンクウノ,テンクウノ,呪文
天空より,,,10,名詞,引用文字列,*,*,*,*,天空より,テンクウヨリ,テンクウヨリ,呪文
天空を,,,10,名詞,引用文字列,*,*,*,*,天空を,テンクウヲ,テンクウヲ,呪文
天使の,,,10,名詞,引用文字列,*,*,*,*,天使の,テンシノ,テンシノ,呪文
天水の,,,10,名詞,引用文字列,*,*,*,*,天水の,テンスイノ,テンスイノ,呪文
天水を,,,10,名詞,引用文字列,*,*,*,*,天水を,テンスイヲ,テンスイヲ,呪文
天地,,,10,名詞,引用文字列,*,*,*,*,天地,テンチ,テンチ,呪文
天魔,,,10,名詞,引用文字列,*,*,*,*,天魔,テンマ,テンマ,呪文
天命と,,,10,名詞,引用文字列,*,*,*,*,天命と,テンメイト,テンメイト,呪文
天理の,,,10,名詞,引用文字列,*,*,*,*,天理の,テンリノ,テンリノ,呪文
祓いを,,,10,名詞,引用文字列,*,*,*,*,祓いを,ハライヲ,ハライヲ,呪文
眷属,,,10,名詞,引用文字列,*,*,*,*,眷属,ケンゾク,ケンゾク,呪文
烙印を,,,10,名詞,引用文字列,*,*,*,*,烙印を,ラクインヲ,ラクインヲ,呪文
濤よ,,,10,名詞,引用文字列,*,*,*,*,濤よ,濤ヨ,濤ヨ,呪文
殲滅の,,,10,名詞,引用文字列,*,*,*,*,殲滅の,センメツノ,センメツノ,呪文
楔を,,,10,名詞,引用文字列,*,*,*,*,楔を,クサビヲ,クサビヲ,呪文
枷で,,,10,名詞,引用文字列,*,*,*,*,枷で,カセデ,カセデ,呪文
巫女よ,,,10,名詞,引用文字列,*,*,*,*,巫女よ,ミコヨ,ミコヨ,呪文
咬撃,,,10,名詞,引用文字列,*,*,*,*,咬撃,咬撃,咬撃,呪文
六道,,,10,名詞,引用文字列,*,*,*,*,六道,ロクドウ,ロクドウ,呪文
狼の,,,10,名詞,引用文字列,*,*,*,*,狼の,オオカミノ,オオカミノ,呪文
練達より,,,10,名詞,引用文字列,*,*,*,*,練達より,レンタツヨリ,レンタツヨリ,呪文
烈風を,,,10,名詞,引用文字列,*,*,*,*,烈風を,レップウヲ,レップウヲ,呪文
礼賛,,,10,名詞,引用文字列,*,*,*,*,礼賛,ライサン,ライサン,呪文
冷気に,,,10,名詞,引用文字列,*,*,*,*,冷気に,レイキニ,レイキニ,呪文
輪廻に,,,10,名詞,引用文字列,*,*,*,*,輪廻に,リンネニ,リンネニ,呪文
臨界,,,10,名詞,引用文字列,*,*,*,*,臨界,リンカイ,リンカイ,呪文
燐光,,,10,名詞,引用文字列,*,*,*,*,燐光,リンコウ,リンコウ,呪文
緑色の,,,10,名詞,引用文字列,*,*,*,*,緑色の,リョクショクノ,リョクショクノ,呪文
糧と,,,10,名詞,引用文字列,*,*,*,*,糧と,カテト,カテト,呪文
凌駕,,,10,名詞,引用文字列,*,*,*,*,凌駕,リョウガ,リョウガ,呪文
魔に,,,10,名詞,引用文字列,*,*,*,*,魔に,マニ,マニ,呪文
魔の,,,10,名詞,引用文字列,*,*,*,*,魔の,マノ,マノ,呪文
魔を,,,10,名詞,引用文字列,*,*,*,*,魔を,マヲ,マヲ,呪文
魔界の,,,10,名詞,引用文字列,*,*,*,*,魔界の,マカイノ,マカイノ,呪文
魔手よ,,,10,名詞,引用文字列,*,*,*,*,魔手よ,マシュヨ,マシュヨ,呪文
魔神よ,,,10,名詞,引用文字列,*,*,*,*,魔神よ,マジンヨ,マジンヨ,呪文
魔性に,,,10,名詞,引用文字列,*,*,*,*,魔性に,マショウニ,マショウニ,呪文
魔法,,,10,名詞,引用文字列,*,*,*,*,魔法,マホウ,マホウ,呪文
魔力の,,,10,名詞,引用文字列,*,*,*,*,魔力の,マリョクノ,マリョクノ,呪文
魔力を,,,10,名詞,引用文字列,*,*,*,*,魔力を,マリョクヲ,マリョクヲ,呪文
不穏の,,,10,名詞,引用文字列,*,*,*,*,不穏の,フオンノ,フオンノ,呪文
不可視の,,,10,名詞,引用文字列,*,*,*,*,不可視の,フカシノ,フカシノ,呪文
不幸を,,,10,名詞,引用文字列,*,*,*,*,不幸を,フコウヲ,フコウヲ,呪文
不条理の,,,10,名詞,引用文字列,*,*,*,*,不条理の,フジョウリノ,フジョウリノ,呪文
不浄の,,,10,名詞,引用文字列,*,*,*,*,不浄の,フジョウノ,フジョウノ,呪文
不浄を,,,10,名詞,引用文字列,*,*,*,*,不浄を,フジョウヲ,フジョウヲ,呪文
不動,,,10,名詞,引用文字列,*,*,*,*,不動,フドウ,フドウ,呪文
不変,,,10,名詞,引用文字列,*,*,*,*,不変,フヘン,フヘン,呪文
不明,,,10,名詞,引用文字列,*,*,*,*,不明,フメイ,フメイ,呪文
不滅の,,,10,名詞,引用文字列,*,*,*,*,不滅の,フメツノ,フメツノ,呪文
時に,,,10,名詞,引用文字列,*,*,*,*,時に,トキニ,トキニ,呪文
時は,,,10,名詞,引用文字列,*,*,*,*,時は,トキハ,トキハ,呪文
時も,,,10,名詞,引用文字列,*,*,*,*,時も,トキモ,トキモ,呪文
時よ,,,10,名詞,引用文字列,*,*,*,*,時よ,トキヨ,トキヨ,呪文
時を,,,10,名詞,引用文字列,*,*,*,*,時を,トキヲ,トキヲ,呪文
時間の,,,10,名詞,引用文字列,*,*,*,*,時間の,ジカンノ,ジカンノ,呪文
時空の,,,10,名詞,引用文字列,*,*,*,*,時空の,ジクウノ,ジクウノ,呪文
時空を,,,10,名詞,引用文字列,*,*,*,*,時空を,ジクウヲ,ジクウヲ,呪文
時流の,,,10,名詞,引用文字列,*,*,*,*,時流の,ジリュウノ,ジリュウノ,呪文
意に従い,,,10,名詞,引用文字列,*,*,*,*,意に従い,イニシタガイ,イニシタガイ,呪文
意の,,,10,名詞,引用文字列,*,*,*,*,意の,イノ,イノ,呪文
意志と,,,10,名詞,引用文字列,*,*,*,*,意志と,イシト,イシト,呪文
意志に従い,,,10,名詞,引用文字列,*,*,*,*,意志に従い,イシニシタガイ,イシニシタガイ,呪文
意思は,,,10,名詞,引用文字列,*,*,*,*,意思は,イシハ,イシハ,呪文
意思よ,,,10,名詞,引用文字列,*,*,*,*,意思よ,イシヨ,イシヨ,呪文
意思を,,,10,名詞,引用文字列,*,*,*,*,意思を,イシヲ,イシヲ,呪文
意識の,,,10,名詞,引用文字列,*,*,*,*,意識の,イシキノ,イシキノ,呪文
意味を,,,10,名詞,引用文字列,*,*,*,*,意味を,イミヲ,イミヲ,呪文
氷の,,,10,名詞,引用文字列,*,*,*,*,氷の,コオリノ,コオリノ,呪文
氷河の,,,10,名詞,引用文字列,*,*,*,*,氷河の,ヒョウガノ,ヒョウガノ,呪文
氷塊よ,,,10,名詞,引用文字列,*,*,*,*,氷塊よ,ヒョウカイヨ,ヒョウカイヨ,呪文
氷海に,,,10,名詞,引用文字列,*,*,*,*,氷海に,ヒョウカイニ,ヒョウカイニ,呪文
氷結の,,,10,名詞,引用文字列,*,*,*,*,氷結の,ヒョウケツノ,ヒョウケツノ,呪文
氷結は,,,10,名詞,引用文字列,*,*,*,*,氷結は,ヒョウケツハ,ヒョウケツハ,呪文
氷雪の,,,10,名詞,引用文字列,*,*,*,*,氷雪の,ヒョウセツノ,ヒョウセツノ,呪文
氷霧と,,,10,名詞,引用文字列,*,*,*,*,氷霧と,ヒョウムト,ヒョウムト,呪文
地も,,,10,名詞,引用文字列,*,*,*,*,地も,チモ,チモ,呪文
地獄で,,,10,名詞,引用文字列,*,*,*,*,地獄で,ジゴクデ,ジゴクデ,呪文
地獄の,,,10,名詞,引用文字列,*,*,*,*,地獄の,ジゴクノ,ジゴクノ,呪文
地獄へ,,,10,名詞,引用文字列,*,*,*,*,地獄へ,ジゴクヘ,ジゴクヘ,呪文
地上に,,,10,名詞,引用文字列,*,*,*,*,地上に,チジョウニ,チジョウニ,呪文
地上の,,,10,名詞,引用文字列,*,*,*,*,地上の,チジョウノ,チジョウノ,呪文
地上を,,,10,名詞,引用文字列,*,*,*,*,地上を,チジョウヲ,チジョウヲ,呪文
地神,,,10,名詞,引用文字列,*,*,*,*,地神,チジン,チジン,呪文
水に,,,10,名詞,引用文字列,*,*,*,*,水に,ミズニ,ミズニ,呪文
水よ,,,10,名詞,引用文字列,*,*,*,*,水よ,ミズヨ,ミズヨ,呪文
水晶に,,,10,名詞,引用文字列,*,*,*,*,水晶に,スイショウニ,スイショウニ,呪文
水神,,,10,名詞,引用文字列,*,*,*,*,水神,スイジン,スイジン,呪文
水滴よ,,,10,名詞,引用文字列,*,*,*,*,水滴よ,スイテキヨ,スイテキヨ,呪文
水面に,,,10,名詞,引用文字列,*,*,*,*,水面に,スイメンニ,スイメンニ,呪文
水面も,,,10,名詞,引用文字列,*,*,*,*,水面も,スイメンモ,スイメンモ,呪文
水流,,,10,名詞,引用文字列,*,*,*,*,水流,スイリュウ,スイリュウ,呪文
手から,,,10,名詞,引用文字列,*,*,*,*,手から,テカラ,テカラ,呪文
手において,,,10,名詞,引用文字列,*,*,*,*,手において,テニオイテ,テニオイテ,呪文
手により,,,10,名詞,引用文字列,*,*,*,*,手により,テニヨリ,テニヨリ,呪文
手の,,,10,名詞,引用文字列,*,*,*,*,手の,テノ,テノ,呪文
手より,,,10,名詞,引用文字列,*,*,*,*,手より,テヨリ,テヨリ,呪文
手向けの,,,10,名詞,引用文字列,*,*,*,*,手向けの,タムケノ,タムケノ,呪文
手足しか,,,10,名詞,引用文字列,*,*,*,*,手足しか,テアシシカ,テアシシカ,呪文
手足を,,,10,名詞,引用文字列,*,*,*,*,手足を,テアシヲ,テアシヲ,呪文
竜が,,,10,名詞,引用文字列,*,*,*,*,竜が,リュウガ,リュウガ,呪文
竜と,,,10,名詞,引用文字列,*,*,*,*,竜と,リュウト,リュウト,呪文
竜に,,,10,名詞,引用文字列,*,*,*,*,竜に,リュウニ,リュウニ,呪文
竜の,,,10,名詞,引用文字列,*,*,*,*,竜の,リュウノ,リュウノ,呪文
竜より,,,10,名詞,引用文字列,*,*,*,*,竜より,リュウヨリ,リュウヨリ,呪文
竜王よ,,,10,名詞,引用文字列,*,*,*,*,竜王よ,リュウオウヨ,リュウオウヨ,呪文
竜王を,,,10,名詞,引用文字列,*,*,*,*,竜王を,リュウオウヲ,リュウオウヲ,呪文
全てが,,,10,名詞,引用文字列,*,*,*,*,全てが,スベテガ,スベテガ,呪文
全ての,,,10,名詞,引用文字列,*,*,*,*,全ての,スベテノ,スベテノ,呪文
全ては,,,10,名詞,引用文字列,*,*,*,*,全ては,スベテハ,スベテハ,呪文
全てを,,,10,名詞,引用文字列,*,*,*,*,全てを,スベテヲ,スベテヲ,呪文
全治の,,,10,名詞,引用文字列,*,*,*,*,全治の,ゼンチノ,ゼンチノ,呪文
全身が,,,10,名詞,引用文字列,*,*,*,*,全身が,ゼンシンガ,ゼンシンガ,呪文
全身全霊を,,,10,名詞,引用文字列,*,*,*,*,全身全霊を,ゼンシンゼンレイヲ,ゼンシンゼンレイヲ,呪文
生々流転,,,10,名詞,引用文字列,*,*,*,*,生々流転,セイセイルテン,セイセイルテン,呪文
生に,,,10,名詞,引用文字列,*,*,*,*,生に,ナマニ,ナマニ,呪文
生者に,,,10,名詞,引用文字列,*,*,*,*,生者に,ショウジャニ,ショウジャニ,呪文
生者を,,,10,名詞,引用文字列,*,*,*,*,生者を,ショウジャヲ,ショウジャヲ,呪文
生命が,,,10,名詞,引用文字列,*,*,*,*,生命が,セイメイガ,セイメイガ,呪文
生命の,,,10,名詞,引用文字列,*,*,*,*,生命の,セイメイノ,セイメイノ,呪文
生命を,,,10,名詞,引用文字列,*,*,*,*,生命を,セイメイヲ,セイメイヲ,呪文
